solver; problem; memory (MB); time (s)
MCTS Solver; hallway; 10.535; 0.5010
Value Iteration; hallway; 12.812; 0.0260
VI_FeasibleActions; hallway; 12.812; 0.0120
VI_CachePerformance; hallway; 12.813; 0.0340
MCTS Solver; hallway2; 12.813; 0.7150
Value Iteration; hallway2; 13.124; 0.0330
VI_FeasibleActions; hallway2; 14.534; 0.0100
VI_CachePerformance; hallway2; 13.124; 0.0210
MCTS Solver; saci-s12-a6-z5.95; 13.124; 0.5000
Value Iteration; saci-s12-a6-z5.95; 13.346; 0.0000
VI_FeasibleActions; saci-s12-a6-z5.95; 13.346; 0.0010
VI_CachePerformance; saci-s12-a6-z5.95; 13.346; 0.0000
MCTS Solver; saci-s100-a10-z31; 13.346; 0.5000
Value Iteration; saci-s100-a10-z31; 13.672; 0.0010
VI_FeasibleActions; saci-s100-a10-z31; 13.672; 0.0030
VI_CachePerformance; saci-s100-a10-z31; 13.673; 0.0010
